country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,1873184358.0,1896648045.0,1962011173.0,2044134078.0,2254748603.0,2359776536.0,2469832402.0,2677653631.0,2843016760.0,2553631285.0,2453631285.0,2637988827.0,2615083799.0,2727932961.0,2791061453.0,2963128492.0,2983798883.0,3092178771.0,3276187709.0,3395793855.0,2610038939.0,3126019385.0
Africa Eastern and Southern,284759318603.0,259643121973.0,266529432166.0,354176768091.0,440481795991.0,513941625354.0,577586931667.0,662868036074.0,710536227817.0,721901168421.0,863519541418.0,967824566959.0,975354777362.0,985987130727.0,1006526390113.0,927348469903.0,885176429224.0,1021043200767.0,1007196197587.0,1000834077089.0,927593321648.0,1081998139192.0
Afghanistan,,,3854235264.0,4539496563.0,5220825049.0,6226198935.0,6971383339.0,9715765105.0,10249770319.0,12154835708.0,15633843662.0,18190413832.0,20203572960.0,20564485419.0,20550582747.0,19998143636.0,18019554403.0,18896353156.0,18418860354.0,18904502222.0,20143451706.0,14583135237.0
Africa Western and Central,140945759314.0,148529518712.0,177201164643.0,205214466071.0,254264799899.0,310889578636.0,396921040009.0,465485534969.0,567791156729.0,508362731367.0,598521555566.0,682015858792.0,737589473577.0,833948054767.0,894322482190.0,768644740597.0,691363412188.0,684898755571.0,767025741475.0,822538393591.0,786460035395.0,844459722153.0
Angola,9129594819.0,8936079253.0,15285592487.0,17812704626.0,23552057820.0,36970901025.0,52381025105.0,65266415707.0,88538664888.0,70307196477.0,81699526881.0,109436566876.0,124998210652.0,133401582620.0,137244439121.0,87219300385.0,49840491178.0,68972769396.0,77792944472.0,69309110146.0,50241368244.0,65685435100.0
Albania,3480355258.0,3922100794.0,4348068242.0,5611496257.0,7184685782.0,8052077209.0,8896074996.0,10677324873.0,12881352878.0,12044205572.0,11926926654.0,12890760273.0,12319834233.0,12776224537.0,13228147516.0,11386853143.0,11861199831.0,13019726212.0,15156424062.0,15401826081.0,15162734205.0,17930565119.0
Andorra,1429048106.0,1546912332.0,1755989899.0,2361635782.0,2895047587.0,3159826892.0,3456265062.0,3952397735.0,4085781939.0,3674188229.0,3449925739.0,3629133575.0,3188652765.0,3193512950.0,3271685597.0,2789881259.0,2896610480.0,3000162081.0,3218419897.0,3155149348.0,2891001149.0,3325145407.0
Arab World,820185610129.0,802881110720.0,807961558720.0,893818030124.0,1062736962989.0,1304401465633.0,1545539138979.0,1797932187932.0,2263028942886.0,1987053424430.0,2334637959849.0,2555979378992.0,2801697577806.0,2859669252730.0,2905732745187.0,2554156134623.0,2537536661585.0,2637111521998.0,2843476105064.0,2868890920845.0,2533377484137.0,2928455523440.0
United Arab Emirates,104337372362.0,103311640572.0,109816201498.0,124346358067.0,147824370320.0,180617467965.0,222116541865.0,257916133424.0,315474615739.0,253547358747.0,289787452662.0,350666058380.0,384610125391.0,400218529748.0,414105366753.0,370275469571.0,369255326236.0,390516804030.0,427049432158.0,417989721743.0,349473015330.0,415021590688.0
Argentina,284203750000.0,268696750000.0,97724004252.0,127586973492.0,164657930453.0,198737095012.0,232557260817.0,287530508431.0,361558037110.0,332976484578.0,423627422092.0,530158176674.0,545982375701.0,552025140252.0,526319673732.0,594749285413.0,557532317363.0,643628396190.0,524819898587.0,447754686715.0,385540406816.0,487227125386.0
Armenia,1911563669.0,2118467913.0,2376335048.0,2807061009.0,3576615240.0,4900469515.0,6384452071.0,9206301264.0,11662040704.0,8647937091.0,9260285762.0,10142111812.0,10619320693.0,11121464430.0,11609513241.0,10553337528.0,10546136240.0,11527458713.0,12457940705.0,13619290546.0,12641698594.0,13861409969.0
American Samoa,,,512000000.0,524000000.0,509000000.0,500000000.0,493000000.0,518000000.0,560000000.0,675000000.0,573000000.0,570000000.0,640000000.0,638000000.0,643000000.0,673000000.0,671000000.0,612000000.0,639000000.0,647000000.0,716000000.0,709000000.0
Antigua and Barbuda,826370370.4,800481481.5,814381481.5,856396296.3,919729629.6,1022962963.0,1157662963.0,1312759259.0,1370070370.0,1228329630.0,1148700000.0,1137637037.0,1199948148.0,1181448148.0,1249733333.0,1336692593.0,1436585185.0,1467955556.0,1604770370.0,1675403704.0,1416348148.0,1560518519.0
Australia,415844972940.0,379357823193.0,395573025330.0,467497961561.0,614326362214.0,695305000207.0,747907432137.0,854427259166.0,1055686110666.0,928629769752.0,1148569537285.0,1398456161408.0,1546952690140.0,1576329690004.0,1467589901175.0,1350580336317.0,1206562910557.0,1326467487376.0,1428266513154.0,1392218527563.0,1326944627877.0,1552703151616.0
Austria,197289625480.0,197508773215.0,214394866675.0,262273631180.0,301457562039.0,316092273276.0,336280064332.0,389185571506.0,432051935643.0,401758735822.0,392275107259.0,431685217368.0,409401816051.0,430190979706.0,442584815286.0,381971148531.0,395837353032.0,417261151845.0,454991174096.0,444621176101.0,435225238000.0,480368403893.0
Azerbaijan,5272617196.0,5707618247.0,6236086669.0,7276413079.0,8680410158.0,13245421881.0,20981929498.0,33049426816.0,48851318826.0,44292408817.0,52909294792.0,65952763949.0,69679913510.0,74160553009.0,75239737489.0,53076244755.0,37867007023.0,40866632048.0,47112479289.0,48174235294.0,42693000000.0,54825411765.0
Burundi,870486065.9,876794723.1,825394519.7,784654423.6,915257323.4,1117113080.0,1273375078.0,1356199387.0,1611835857.0,1781455140.0,2032135191.0,2235820809.0,2333341334.0,2451606632.0,2705783330.0,3104003546.0,2644487777.0,2723586962.0,2667182199.0,2576518879.0,2649680261.0,2775798697.0
Belgium,236792460312.0,236746141604.0,258383599375.0,318082528507.0,369214712443.0,385714762230.0,408259840869.0,470922156309.0,517328087920.0,483254171098.0,481420882905.0,523330354138.0,496152879925.0,521791015247.0,535390200131.0,462335574841.0,476062757357.0,502764720556.0,543299066999.0,535865692402.0,525213067068.0,594351961634.0
Benin,3519991440.0,3666222634.0,4194342689.0,5349258093.0,6190270377.0,6567654959.0,7034111316.0,8169048375.0,9787734517.0,9738626510.0,9535345011.0,10693321370.0,11141358106.0,12517845128.0,13284527850.0,11388160997.0,11821065852.0,12701655846.0,14262408080.0,14391686309.0,15651545209.0,17690083520.0
Burkina Faso,2968370087.0,3190371080.0,3622350066.0,4740768141.0,5451688535.0,6146353177.0,6547419822.0,7625722829.0,9451435481.0,9450696866.0,10109619736.0,12080295985.0,12561015145.0,13444300490.0,13943016080.0,11832159316.0,12833363044.0,14106955625.0,15890066210.0,16178161666.0,17933606213.0,19737616003.0
Bangladesh,53369787319.0,53991289844.0,54724081491.0,60158929188.0,65108544250.0,69442943089.0,71819083684.0,79611888213.0,91631278239.0,102477779060.0,115279077465.0,128637983883.0,133355819705.0,149990529208.0,172885432687.0,195078574089.0,265236389199.0,293754769935.0,321379163136.0,351238397264.0,373902196399.0,416264802185.0
Bulgaria,13245990274.0,14183443862.0,16403043850.0,21144962058.0,26157744753.0,29868651533.0,34380543845.0,44432811756.0,54480697770.0,52023813558.0,50754203891.0,57735709914.0,54290156342.0,55844245264.0,57159557805.0,50828088836.0,53987487124.0,59343060706.0,66399602077.0,68911930628.0,70404359049.0,84061395658.0
Bahrain,9062898936.0,8976196809.0,9593510638.0,11074813830.0,13150159574.0,15968723404.0,18504760638.0,21730000000.0,25710904255.0,22938218085.0,25713271277.0,28776595745.0,30749308511.0,32539468085.0,33387712766.0,31050638298.0,32234973404.0,35473776596.0,37802005319.0,38653318085.0,34621807713.0,39303403989.0
"Bahamas, The",8076470000.0,8317830000.0,8881160000.0,8870090000.0,9055290000.0,9836200000.0,10167250000.0,10618340000.0,10526000000.0,9981960000.0,10095760000.0,10070450000.0,10720500000.0,10562800000.0,11176100000.0,11672900000.0,11750800000.0,12253500000.0,12653600000.0,13058700000.0,9754600000.0,11527600000.0
Bosnia and Herzegovina,5567774049.0,5800616572.0,6728219507.0,8498893358.0,10156541358.0,11222796197.0,12864842269.0,15778737117.0,19112801197.0,17613946109.0,17176320823.0,18644239028.0,17226736285.0,18179104549.0,18558731213.0,16404352156.0,17116926092.0,18326376394.0,20484048416.0,20482603346.0,20226030731.0,23649566069.0
Belarus,12736856828.0,12354820144.0,14594928109.0,17825437483.0,23141593074.0,30210091837.0,36961822468.0,45275747157.0,60752177439.0,50873181572.0,57231904543.0,61762340943.0,65685903570.0,75527537703.0,78812785768.0,56454895055.0,47723549319.0,54725311690.0,60031163987.0,64410112583.0,61371755326.0,69673747132.0
Belize,1116000000.0,1163000000.0,1233000000.0,1298000000.0,1389500000.0,1461500000.0,1581000000.0,1696000000.0,1729000000.0,1680500000.0,1738500000.0,1819500000.0,1903000000.0,2029500000.0,2138000000.0,2210500000.0,2258500000.0,2286000000.0,2315000000.0,2416500000.0,2080000000.0,2491500000.0
Bermuda,3480219000.0,3680483000.0,3937228000.0,4186525000.0,4484703000.0,4868136000.0,6144000000.0,6767000000.0,6980000000.0,6656000000.0,6634526000.0,6312691000.0,6378188000.0,6465756000.0,6413988000.0,6654541000.0,6899911000.0,7142316000.0,7225977000.0,7423465000.0,6887147000.0,7127200000.0
Bolivia,8397855937.0,8141517339.0,7905485146.0,8082399991.0,8773451752.0,9549122313.0,11451845379.0,13120107739.0,16674276979.0,17339992194.0,19649724656.0,23963162969.0,27084497482.0,30659338886.0,32996188017.0,33000198249.0,33941126194.0,37508642171.0,40287647931.0,40895322851.0,36629843806.0,40408208524.0
Brazil,655448188246.0,559983704076.0,509795270707.0,558233724161.0,669289321954.0,891633826583.0,1107626711436.0,1397114247288.0,1695855391816.0,1666996294325.0,2208838108593.0,2616156606735.0,2465228293863.0,2472819362259.0,2456043766064.0,1802211999556.0,1795693265824.0,2063514688762.0,1916933708404.0,1873288159001.0,1476107292037.0,1649622972159.0
Barbados,3059500000.0,3054500000.0,3106500000.0,3209500000.0,3444500000.0,3819500000.0,4217450800.0,4674007450.0,4784925100.0,4465657300.0,4529928300.0,4657699450.0,4610096000.0,4677248300.0,4696344350.0,4724691200.0,4832811750.0,4981588900.0,5097283200.0,5324250000.0,4671800000.0,4843800000.0
Brunei Darussalam,6001280944.0,5601020247.0,5843367180.0,6557395816.0,7872201251.0,9531417164.0,11470462365.0,12247680703.0,14393437610.0,10732592999.0,13707275498.0,18525128230.0,19048443089.0,18094326393.0,17097801092.0,12930292949.0,11400467372.0,12128182464.0,13567164445.0,13469240163.0,12005795915.0,14006497000.0
Bhutan,424448931.0,461479580.2,520846131.7,603999372.4,682577073.5,796938572.0,874989734.7,1168307575.0,1227809261.0,1234015142.0,1547990907.0,1777102586.0,1781280170.0,1756214304.0,1907090362.0,2003596824.0,2158971718.0,2450366108.0,2446867582.0,2535655609.0,2325185521.0,2539551327.0
Botswana,5788329609.0,5489608300.0,5438864269.0,7511582173.0,8957467707.0,9918907108.0,9919158482.0,10567270656.0,10730828592.0,10118459714.0,12637273429.0,15110642876.0,13907464500.0,14271738367.0,15470087926.0,13530749290.0,15082636723.0,16105156376.0,17031943186.0,16725908662.0,14960291541.0,18737066307.0
Central African Republic,916777282.7,932648604.4,996068145.6,1142315522.0,1272360517.0,1337894380.0,1461859763.0,1699811293.0,1993407887.0,2067381664.0,2142591539.0,2437982707.0,2510126510.0,1691544111.0,1894813390.0,1695825714.0,1825018144.0,2072349974.0,2220979145.0,2221301351.0,2326720902.0,2516498412.0
Canada,744773415932.0,738962729045.0,760649334098.0,895540646635.0,1026690238278.0,1173108598779.0,1319264809591.0,1468820407783.0,1552989690722.0,1374625142157.0,1617343367486.0,1793326630175.0,1828366481522.0,1846597421835.0,1805749878440.0,1556508816217.0,1527994741907.0,1649265644244.0,1725297938436.0,1743725183673.0,1647598402303.0,2001486745424.0
Central Europe and the Baltics,428593201405.0,468615587873.0,528073833481.0,634392770406.0,763090766154.0,886071848816.0,1001568223853.0,1265418819111.0,1530535154239.0,1289701858874.0,1316398490312.0,1454558246006.0,1358875109415.0,1417323424010.0,1463549880657.0,1293370353420.0,1316495750804.0,1461216063230.0,1648513132166.0,1674114230083.0,1665358949114.0,1905555039663.0
Switzerland,279209007353.0,286580125206.0,309299934076.0,362088305989.0,403914244452.0,418292704114.0,441619409123.0,490754683815.0,567273005013.0,554191679309.0,598851028907.0,715888126682.0,686420221558.0,706234937371.0,726537808338.0,694118186380.0,687895460903.0,695200833086.0,725562534364.0,721369112727.0,739913619797.0,800640155387.0
Channel Islands,6439703435.0,6232906290.0,6663669065.0,7332244898.0,8553643354.0,8827272727.0,9676172953.0,11514605842.0,,,,,,,,,9511207129.0,9530244530.0,10422948632.0,10381669645.0,9811538462.0,11735662220.0
Chile,78249883996.0,71517267768.0,70295232513.0,76507853876.0,99079365628.0,122314960844.0,153840051814.0,172565861849.0,179663390875.0,171412643624.0,217105434200.0,251224856981.0,267175870678.0,277239473854.0,259405194673.0,242496655712.0,249298706449.0,276364936832.0,295402646018.0,278493308134.0,254096103516.0,316713577509.0
China,1211331627479.0,1339400843165.0,1470557565966.0,1660280610710.0,1955346808095.0,2285961242870.0,2752118542130.0,3550327569655.0,4594336785738.0,5101691085626.0,6087191720867.0,7551545321800.0,8532185615747.0,9570470577245.0,10475624783236.0,11061573199440.0,11233314018690.0,12310491176727.0,13894907485399.0,14279968485748.0,14687743556970.0,17820459342451.0
Cote d'Ivoire,16577533892.0,16810537038.0,18054383334.0,21251754335.0,23510575669.0,24036918719.0,25281413268.0,28760090924.0,34078240260.0,33886813225.0,34936307964.0,36693710822.0,36302302844.0,42760235496.0,48843005625.0,45815005171.0,48407761032.0,52512344034.0,58522477745.0,59898479821.0,62982768372.0,71811075955.0
