year,country,gov_party,value,gdp,tax_rate_variation_per_gov,tax_rate_variation_per_year,gdp_variation_per_gov,gdp_variation_per_year
2000,Australia,1,26.596612,415844972940.0,,,,
2001,Australia,1,23.070763,379357823193.0,-0.13256759921150862,-0.13256759921150862,-0.08774219269512373,-0.08774219269512373
2002,Australia,1,23.507561,395573025330.0,0.01893296723649751,0.01893296723649751,0.042743819016354934,0.042743819016354934
2003,Australia,1,23.94136,467497961561.0,0.018453594568998533,0.018453594568998533,0.18182467363895172,0.18182467363895172
2004,Australia,1,23.88431,614326362214.0,-0.0023829055659327913,-0.0023829055659327913,0.31407281469791304,0.31407281469791304
2005,Australia,1,24.218502,695305000207.0,0.013992114488549312,0.013992114488549312,0.13181696728943426,0.13181696728943426
2006,Australia,1,23.978454,747907432137.0,-0.00991176085126988,-0.00991176085126988,0.07565375182738454,0.07565375182738454
2007,Australia,2,23.359245,854427259166.0,,-0.025823558099283495,,0.1424238113594356
2008,Australia,5,22.547911,1055686110666.0,,-0.034732886272651475,,0.23554825684804026
2009,Australia,5,22.057972,928629769752.0,-0.021728797847392567,-0.021728797847392567,-0.12035427920316588,-0.12035427920316588
2010,Australia,5,22.282927,1148569537285.0,0.010198353683647854,0.010198353683647854,0.23684333056836748,0.23684333056836748
2011,Australia,5,22.272928,1398456161408.0,-0.0004487291997142817,-0.0004487291997142817,0.2175633394506391,0.2175633394506391
2012,Australia,5,22.952915,1546952690140.0,0.03052975342981412,0.03052975342981412,0.10618604489002359,0.10618604489002359
2013,Australia,4,23.103308,1576329690004.0,,0.006552239661062442,,0.018990238066906473
2014,Australia,1,23.355111,1467589901175.0,,0.010899001995731572,,-0.06898289711762273
2015,Australia,1,24.068137,1350580336317.0,0.030529762842916863,0.030529762842916863,-0.07972906107102429,-0.07972906107102429
2016,Australia,1,24.308207,1206562910557.0,0.009974598366296439,0.009974598366296439,-0.10663373505994622,-0.10663373505994622
2017,Australia,1,24.356725,1326467487376.0,0.001995951408509944,0.001995951408509944,0.09937697882959706,0.09937697882959706
2018,Australia,1,24.645486,1428266513154.0,0.011855493708616383,0.011855493708616383,0.07674445604345537,0.07674445604345537
2019,Australia,1,23.638534,1392218527563.0,-0.040857461686898744,-0.040857461686898744,-0.025238976940932578,-0.025238976940932578
2020,Australia,1,24.079812,1326944627877.0,0.01866773971685376,0.01866773971685376,-0.04688480895327418,-0.04688480895327418
2021,Australia,1,23.223937,1552703151616.0,-0.03554325922478141,-0.03554325922478141,0.17013409527132617,0.17013409527132617
2000,Austria,2,30.963729,197289625480.0,,,,
2001,Austria,1,31.393693,197508773215.0,,0.013886053582241376,,0.0011107919864858928
2002,Austria,1,31.603978,214394866675.0,0.0066983199459842435,0.0066983199459842435,0.08549540957159651,0.08549540957159651
2003,Austria,1,31.996964,262273631180.0,0.012434700467137239,0.012434700467137239,0.22332047985821957,0.22332047985821957
2004,Austria,1,33.222679,301457562039.0,0.03830722814827059,0.03830722814827059,0.14940095457826574,0.14940095457826574
2005,Austria,1,33.038171,316092273276.0,-0.00555367614995772,-0.00555367614995772,0.048546505644156523,0.048546505644156523
2006,Austria,1,33.439199,336280064332.0,0.012138323274614837,0.012138323274614837,0.06386676538079361,0.06386676538079361
2007,Austria,3,33.835085,389185571506.0,,0.011838979755465884,,0.15732573169061803
2008,Austria,3,34.263553,432051935643.0,0.012663423189272383,0.012663423189272383,0.11014376501966261,0.11014376501966261
2009,Austria,3,32.786954,401758735822.0,-0.04309532639536828,-0.04309532639536828,-0.07011471844447648,-0.07011471844447648
2010,Austria,3,33.071075,392275107259.0,0.008665672328085128,0.008665672328085128,-0.023605282766525182,-0.023605282766525182
2011,Austria,3,33.550145,431685217368.0,0.014486072799266392,0.014486072799266392,0.10046548807130762,0.10046548807130762
2012,Austria,3,33.937322,409401816051.0,0.011540248186706847,0.011540248186706847,-0.0516195607828841,-0.0516195607828841
2013,Austria,3,34.381713,430190979706.0,0.013094462786427119,0.013094462786427119,0.050779363549306344,0.050779363549306344
2014,Austria,3,34.681248,442584815286.0,0.00871204410321269,0.00871204410321269,0.02881007776701905,0.02881007776701905
2015,Austria,3,35.040655,381971148531.0,0.010363150714761016,0.010363150714761016,-0.13695378752619702,-0.13695378752619702
2016,Austria,3,32.10617,395837353032.0,-0.08374515259489301,-0.08374515259489301,0.03630170643601538,0.03630170643601538
2017,Austria,3,32.430503,417261151845.0,0.010101890072842679,0.010101890072842679,0.05412273159392322,0.05412273159392322
